home_team,player_id,team_year,away_team,left,center,right
Home3A,547,1883,Vis3AB,1,0,1
Home3A,596,1883,Vis3AB,0,0,0
Home3A,645,1883,Vis3AB,0,0,0
Home3A,966,1883,Vis3AB,0,0,0
Home3A,972,1883,Vis3AB,0,0,0
Home3A,480,1883,Vis3AC,0,0,0
Home3A,839,1883,Vis3AC,0,0,0
Home3A,893,1883,Vis3AC,0,0,0
Home3A,768,1883,Vis3AD,0,0,0
Home3A,786,1883,Vis3AD,0,0,0
Home3A,720,1883,Vis3AE,0,0,0
Home3A,433,1884,Vis3AG,0,0,0
Home3A,436,1884,Vis3AG,0,0,0
Home3A,442,1884,Vis3AG,0,0,0
Home3A,565,1884,Vis3AG,0,0,0
Home3A,567,1884,Vis3AG,0,0,0
Home3A,651,1884,Vis3AG,1,1,1
Home3A,891,1884,Vis3AG,0,0,0
Home3A,975,1884,Vis3AG,1,1,1
Home3A,308,1884,Vis3AH,0,0,0
Home3A,673,1884,Vis3AH,0,0,0
Home3A,936,1884,Vis3AH,0,0,0
Home3A,620,1884,Vis3AJ,0,0,0
Home3A,808,1884,Vis3AK,0,0,0
Home3A,544,1884,Vis3AL,0,0,0
Home3A,849,1884,Vis3AL,0,0,0
Home3A,334,1884,Vis3AM,1,0,0
Home3A,550,1884,Vis3AO,0,0,0
Home3A,456,1884,Vis3AS,0,0,0
Home3A,492,1884,Vis3AS,1,1,1
Home3A,549,1884,Vis3AS,0,0,0
Home3A,949,1884,Vis3AS,0,0,0
Home3A,993,1884,Vis3AS,0,0,0
Home3A,513,1884,Vis3AT,1,1,1
Home3A,973,1884,Vis3AV,0,0,0
Home2A,558,1883,Vis2AB,0,0,0
Home2A,637,1883,Vis2AB,0,0,1
Home2A,647,1883,Vis2AB,0,0,0
Home2A,798,1883,Vis2AB,0,0,0
Home2A,827,1883,Vis2AB,0,1,1
Home2A,340,1883,Vis2AC,0,0,0
Home2A,386,1883,Vis2AC,0,0,0
Home2A,923,1883,Vis2AC,0,0,0
Home2A,322,1883,Vis2AD,0,0,0
Home2A,479,1883,Vis2AD,1,0,0
Home2A,391,1884,Vis2AF,0,0,0
Home2A,471,1884,Vis2AF,1,0,0
Home2A,495,1884,Vis2AF,0,1,0
Home2A,551,1884,Vis2AF,0,0,0
Home2A,557,1884,Vis2AF,1,0,0
Home2A,576,1884,Vis2AF,0,0,0
Home2A,787,1884,Vis2AF,1,1,1
Home2A,961,1884,Vis2AF,0,0,0
Home2A,974,1884,Vis2AF,0,0,0
Home2A,344,1884,Vis2AG,0,0,0
Home2A,602,1884,Vis2AG,0,0,0
Home2A,838,1884,Vis2AG,0,0,0
Home2A,305,1884,Vis2AH,0,0,0
Home2A,437,1884,Vis2AI,0,0,0
Home2A,819,1884,Vis2AI,0,0,0
Home2A,343,1884,Vis2AJ,0,0,0
Home2A,408,1884,Vis2AJ,0,0,0
Home2A,639,1884,Vis2AJ,0,0,0
Home2A,943,1884,Vis2AJ,0,0,0
Home2A,615,1884,Vis2AL,1,1,1
Home2A,737,1884,Vis2AL,0,0,0
Home2A,886,1884,Vis2AL,0,0,0
Home2A,913,1884,Vis2AL,0,0,0
Home2A,473,1884,Vis2AO,0,0,0
Home2A,552,1884,Vis2AO,0,0,0
Home2A,367,1884,Vis2AP,0,0,0
Home2A,733,1884,Vis2AP,0,0,0
Home2A,503,1884,Vis2AQ,1,0,0
Home2A,655,1884,Vis2AR,0,0,0
Home2A,714,1884,Vis2AR,0,0,0
Home2A,955,1884,Vis2AR,0,0,0
Home2A,504,1884,Vis2AS,0,0,0
Home2A,537,1884,Vis2AS,0,0,1
Home2A,753,1884,Vis2AS,0,0,0
Home2A,814,1884,Vis2AT,0,0,0
Home2A,470,1884,Vis2AV,0,0,0
Home2A,963,1884,Vis2AV,1,1,0
Home1A,593,1883,Vis1AB,0,0,0
Home1A,594,1883,Vis1AB,1,1,1
Home1A,683,1883,Vis1AB,0,0,0
Home1A,807,1883,Vis1AB,0,0,0
Home1A,856,1883,Vis1AB,0,0,0
Home1A,606,1883,Vis1AC,0,0,0
Home1A,858,1883,Vis1AC,0,0,0
Home1A,423,1883,Vis1AF,1,1,0
Home1A,435,1883,Vis1AF,1,1,1
Home1A,472,1883,Vis1AG,0,0,0
Home1A,511,1883,Vis1AG,0,0,0
Home1A,662,1883,Vis1AH,0,0,0
Home1A,418,1884,Vis1AK,0,0,0
Home1A,465,1884,Vis1AK,0,0,0
Home1A,521,1884,Vis1AK,0,0,0
Home1A,523,1884,Vis1AK,0,0,0
Home1A,598,1884,Vis1AK,0,0,0
Home1A,626,1884,Vis1AK,0,0,0
Home1A,630,1884,Vis1AK,0,0,0
Home1A,877,1884,Vis1AK,0,0,0
Home1A,892,1884,Vis1AK,1,0,1
Home1A,364,1884,Vis1AL,0,0,0
Home1A,378,1884,Vis1AL,0,0,0
Home1A,402,1884,Vis1AL,0,0,0
Home1A,906,1884,Vis1AL,0,0,0
Home1A,741,1884,Vis1AM,0,0,0
Home1A,348,1884,Vis1AP,0,0,0
Home1A,354,1884,Vis1AQ,0,0,0
Home1A,953,1884,Vis1AT,0,0,0
Home1A,959,1884,Vis1AU,0,0,0
Home1A,750,1884,Vis1AV,0,0,0
Home1A,672,1884,Vis1AW,0,0,0
Home1A,564,1884,Vis1AY,0,0,0
Home1A,411,1884,Vis1AZ,0,0,0
Home1A,766,1884,Vis1BA,0,0,0
Home1A,583,1884,Vis1BB,0,0,0
Home1A,579,1884,Vis1BC,0,0,0
